cls,xmin,ymin,xmax,ymax,name
8.0,184.0,57.0,347.0,185.0,000101.xml
14.0,39.0,63.0,399.0,332.0,000101.xml
17.0,415.0,174.0,499.0,313.0,000102.xml
17.0,120.0,133.0,351.0,273.0,000102.xml
19.0,402.0,109.0,499.0,264.0,000104.xml
14.0,290.0,74.0,441.0,332.0,000104.xml
14.0,1.0,6.0,282.0,332.0,000104.xml
16.0,470.0,173.0,499.0,226.0,000107.xml
9.0,295.0,148.0,333.0,177.0,000107.xml
16.0,241.0,145.0,258.0,168.0,000107.xml
2.0,16.0,11.0,481.0,234.0,000109.xml
14.0,78.0,232.0,109.0,313.0,000110.xml
14.0,53.0,230.0,85.0,343.0,000110.xml
14.0,30.0,232.0,49.0,302.0,000110.xml
11.0,69.0,173.0,276.0,327.0,000112.xml
8.0,286.0,161.0,315.0,197.0,000112.xml
14.0,276.0,100.0,353.0,259.0,000113.xml
0.0,0.0,41.0,497.0,283.0,000117.xml
7.0,163.0,96.0,280.0,374.0,000118.xml
11.0,65.0,120.0,439.0,275.0,000120.xml
19.0,250.0,27.0,474.0,266.0,000121.xml
19.0,21.0,27.0,250.0,272.0,000121.xml
7.0,35.0,19.0,429.0,473.0,000122.xml
18.0,0.0,25.0,357.0,339.0,000123.xml
1.0,424.0,217.0,499.0,274.0,000125.xml
14.0,435.0,187.0,466.0,222.0,000125.xml
14.0,381.0,208.0,414.0,271.0,000125.xml
14.0,352.0,212.0,382.0,275.0,000125.xml
1.0,69.0,201.0,254.0,499.0,000129.xml
1.0,250.0,241.0,333.0,499.0,000129.xml
1.0,0.0,143.0,66.0,435.0,000129.xml
14.0,0.0,0.0,65.0,362.0,000129.xml
14.0,73.0,0.0,271.0,461.0,000129.xml
14.0,251.0,18.0,333.0,486.0,000129.xml
3.0,3.0,0.0,499.0,248.0,000130.xml
6.0,0.0,98.0,474.0,265.0,000131.xml
14.0,123.0,124.0,171.0,152.0,000131.xml
14.0,183.0,120.0,225.0,153.0,000131.xml
5.0,42.0,65.0,278.0,362.0,000132.xml
14.0,72.0,17.0,405.0,499.0,000133.xml
12.0,134.0,226.0,337.0,499.0,000133.xml
14.0,21.0,0.0,74.0,100.0,000133.xml
12.0,41.0,57.0,136.0,103.0,000133.xml
6.0,0.0,114.0,486.0,329.0,000134.xml
14.0,5.0,55.0,153.0,284.0,000138.xml
14.0,144.0,57.0,282.0,257.0,000138.xml
14.0,223.0,53.0,439.0,331.0,000138.xml
14.0,362.0,95.0,499.0,331.0,000138.xml
11.0,106.0,145.0,385.0,299.0,000140.xml
17.0,1.0,112.0,499.0,400.0,000140.xml
2.0,24.0,52.0,417.0,398.0,000141.xml
6.0,25.0,80.0,464.0,265.0,000142.xml
7.0,169.0,45.0,499.0,332.0,000143.xml
14.0,154.0,207.0,251.0,407.0,000146.xml
8.0,32.0,104.0,64.0,145.0,000147.xml
8.0,76.0,113.0,113.0,148.0,000147.xml
8.0,145.0,124.0,174.0,149.0,000147.xml
8.0,226.0,131.0,246.0,153.0,000147.xml
8.0,301.0,126.0,326.0,152.0,000147.xml
8.0,372.0,120.0,401.0,152.0,000147.xml
8.0,434.0,111.0,464.0,148.0,000147.xml
12.0,185.0,77.0,318.0,263.0,000150.xml
14.0,352.0,53.0,378.0,107.0,000150.xml
14.0,414.0,50.0,435.0,108.0,000150.xml
14.0,475.0,53.0,491.0,97.0,000150.xml
14.0,488.0,50.0,499.0,99.0,000150.xml
6.0,236.0,146.0,357.0,190.0,000153.xml
6.0,137.0,55.0,165.0,69.0,000153.xml
6.0,46.0,113.0,117.0,124.0,000153.xml
6.0,2.0,108.0,63.0,121.0,000153.xml
3.0,58.0,75.0,366.0,265.0,000154.xml
3.0,440.0,192.0,457.0,212.0,000154.xml
17.0,40.0,72.0,380.0,351.0,000156.xml
6.0,431.0,102.0,495.0,143.0,000156.xml
6.0,403.0,113.0,434.0,142.0,000156.xml
2.0,195.0,82.0,266.0,206.0,000158.xml
14.0,233.0,47.0,285.0,123.0,000159.xml
6.0,0.0,15.0,497.0,332.0,000159.xml
6.0,103.0,33.0,445.0,389.0,000161.xml
6.0,67.0,194.0,120.0,287.0,000161.xml
19.0,305.0,226.0,379.0,298.0,000162.xml
14.0,195.0,142.0,308.0,368.0,000162.xml
14.0,51.0,21.0,307.0,327.0,000163.xml
13.0,25.0,107.0,455.0,395.0,000163.xml
13.0,113.0,153.0,368.0,347.0,000164.xml
14.0,291.0,48.0,445.0,369.0,000164.xml
14.0,88.0,53.0,499.0,385.0,000165.xml
6.0,22.0,27.0,479.0,283.0,000169.xml
14.0,101.0,2.0,160.0,49.0,000169.xml
6.0,438.0,22.0,499.0,177.0,000169.xml
14.0,418.0,38.0,443.0,80.0,000169.xml
14.0,453.0,35.0,486.0,70.0,000169.xml
6.0,11.0,45.0,103.0,131.0,000169.xml
4.0,86.0,99.0,108.0,164.0,000170.xml
4.0,40.0,113.0,72.0,180.0,000170.xml
4.0,323.0,147.0,351.0,205.0,000170.xml
4.0,425.0,156.0,442.0,194.0,000170.xml
14.0,2.0,90.0,42.0,205.0,000170.xml
14.0,3.0,27.0,460.0,371.0,000170.xml
11.0,0.0,289.0,127.0,406.0,000171.xml
14.0,93.0,20.0,374.0,490.0,000171.xml
14.0,105.0,63.0,269.0,296.0,000173.xml
12.0,108.0,63.0,287.0,463.0,000173.xml
14.0,142.0,4.0,425.0,332.0,000174.xml
10.0,58.0,151.0,460.0,374.0,000177.xml
14.0,343.0,149.0,499.0,374.0,000177.xml
14.0,320.0,84.0,455.0,361.0,000177.xml
14.0,303.0,91.0,390.0,208.0,000177.xml
14.0,279.0,87.0,336.0,171.0,000177.xml
14.0,162.0,66.0,260.0,162.0,000177.xml
14.0,124.0,93.0,163.0,165.0,000177.xml
14.0,74.0,86.0,157.0,230.0,000177.xml
14.0,0.0,111.0,96.0,374.0,000177.xml
6.0,13.0,109.0,495.0,355.0,000180.xml
3.0,288.0,105.0,337.0,191.0,000184.xml
3.0,374.0,143.0,402.0,187.0,000184.xml
3.0,457.0,153.0,479.0,189.0,000184.xml
3.0,1.0,0.0,311.0,374.0,000184.xml
19.0,0.0,94.0,239.0,335.0,000187.xml
2.0,64.0,38.0,458.0,345.0,000189.xml
5.0,425.0,196.0,499.0,272.0,000190.xml
5.0,234.0,215.0,322.0,257.0,000190.xml
5.0,140.0,211.0,168.0,275.0,000190.xml
5.0,50.0,209.0,151.0,307.0,000190.xml
5.0,0.0,208.0,54.0,312.0,000190.xml
14.0,313.0,240.0,324.0,268.0,000190.xml
14.0,277.0,241.0,283.0,267.0,000190.xml
14.0,272.0,244.0,277.0,256.0,000190.xml
14.0,255.0,241.0,264.0,269.0,000190.xml
14.0,246.0,243.0,255.0,267.0,000190.xml
14.0,205.0,244.0,213.0,269.0,000190.xml
14.0,186.0,242.0,195.0,276.0,000190.xml
14.0,177.0,244.0,184.0,272.0,000190.xml
14.0,115.0,63.0,355.0,374.0,000192.xml
8.0,1.0,211.0,48.0,374.0,000192.xml
14.0,79.0,3.0,499.0,374.0,000193.xml
14.0,0.0,28.0,226.0,374.0,000193.xml
17.0,1.0,124.0,499.0,374.0,000193.xml
12.0,85.0,35.0,238.0,223.0,000194.xml
14.0,114.0,18.0,202.0,135.0,000194.xml
14.0,278.0,76.0,297.0,131.0,000194.xml
18.0,159.0,133.0,285.0,238.0,000198.xml
14.0,27.0,18.0,102.0,166.0,000200.xml
14.0,15.0,53.0,177.0,248.0,000200.xml
14.0,146.0,22.0,244.0,248.0,000200.xml
14.0,226.0,18.0,399.0,248.0,000200.xml
14.0,390.0,12.0,499.0,248.0,000200.xml
4.0,363.0,211.0,388.0,248.0,000200.xml
4.0,230.0,144.0,259.0,209.0,000200.xml
8.0,51.0,165.0,166.0,331.0,000203.xml
5.0,0.0,204.0,112.0,319.0,000207.xml
10.0,0.0,127.0,165.0,260.0,000208.xml
8.0,329.0,222.0,499.0,374.0,000208.xml
8.0,116.0,113.0,179.0,218.0,000208.xml
8.0,58.0,121.0,130.0,254.0,000208.xml
8.0,0.0,183.0,32.0,244.0,000208.xml
17.0,202.0,150.0,435.0,307.0,000208.xml
7.0,13.0,75.0,399.0,374.0,000209.xml
6.0,376.0,210.0,403.0,224.0,000210.xml
14.0,442.0,210.0,467.0,234.0,000210.xml
14.0,322.0,213.0,334.0,225.0,000210.xml
14.0,14.0,213.0,36.0,239.0,000210.xml
9.0,47.0,261.0,243.0,348.0,000211.xml
12.0,204.0,0.0,499.0,374.0,000214.xml
7.0,143.0,80.0,337.0,410.0,000215.xml
11.0,252.0,63.0,382.0,254.0,000218.xml
8.0,106.0,0.0,201.0,173.0,000218.xml
14.0,0.0,0.0,252.0,221.0,000218.xml
13.0,119.0,332.0,309.0,463.0,000219.xml
6.0,39.0,126.0,463.0,291.0,000220.xml
6.0,426.0,113.0,499.0,166.0,000220.xml
14.0,264.0,146.0,311.0,186.0,000220.xml
6.0,71.0,76.0,431.0,252.0,000221.xml
10.0,177.0,215.0,302.0,325.0,000222.xml
14.0,249.0,236.0,361.0,374.0,000222.xml
14.0,113.0,235.0,226.0,374.0,000222.xml
4.0,220.0,222.0,234.0,265.0,000222.xml
4.0,233.0,212.0,244.0,255.0,000222.xml
14.0,340.0,148.0,375.0,215.0,000222.xml
14.0,157.0,190.0,184.0,220.0,000222.xml
14.0,158.0,176.0,205.0,229.0,000222.xml
14.0,251.0,177.0,310.0,227.0,000222.xml
14.0,290.0,192.0,331.0,240.0,000222.xml
14.0,317.0,208.0,372.0,329.0,000222.xml
14.0,99.0,205.0,169.0,341.0,000222.xml
14.0,443.0,282.0,499.0,374.0,000222.xml
8.0,365.0,242.0,393.0,374.0,000222.xml
8.0,366.0,216.0,389.0,268.0,000222.xml
19.0,35.0,158.0,219.0,336.0,000224.xml
4.0,400.0,244.0,499.0,374.0,000224.xml
16.0,124.0,95.0,354.0,262.0,000225.xml
16.0,1.0,21.0,46.0,80.0,000225.xml
0.0,91.0,81.0,313.0,227.0,000228.xml
10.0,94.0,208.0,420.0,374.0,000229.xml
14.0,398.0,218.0,485.0,370.0,000229.xml
14.0,340.0,160.0,431.0,297.0,000229.xml
14.0,383.0,134.0,436.0,202.0,000229.xml
14.0,238.0,130.0,336.0,210.0,000229.xml
14.0,147.0,143.0,210.0,254.0,000229.xml
14.0,80.0,159.0,196.0,326.0,000229.xml
14.0,1.0,187.0,106.0,374.0,000229.xml
4.0,353.0,300.0,381.0,369.0,000229.xml
4.0,38.0,123.0,53.0,160.0,000229.xml
8.0,460.0,188.0,499.0,281.0,000229.xml
9.0,46.0,91.0,375.0,333.0,000232.xml
14.0,229.0,31.0,251.0,92.0,000232.xml
3.0,403.0,70.0,499.0,118.0,000232.xml
3.0,0.0,48.0,87.0,91.0,000232.xml
3.0,54.0,67.0,125.0,89.0,000232.xml
16.0,276.0,105.0,482.0,266.0,000233.xml
6.0,0.0,1.0,450.0,192.0,000233.xml
8.0,242.0,254.0,315.0,374.0,000235.xml
8.0,135.0,325.0,270.0,374.0,000235.xml
8.0,0.0,290.0,96.0,373.0,000235.xml
8.0,401.0,244.0,454.0,315.0,000235.xml
10.0,39.0,265.0,276.0,374.0,000235.xml
17.0,414.0,191.0,456.0,253.0,000235.xml
15.0,184.0,166.0,200.0,235.0,000235.xml
2.0,87.0,168.0,274.0,313.0,000236.xml
3.0,355.0,182.0,499.0,279.0,000241.xml
3.0,59.0,108.0,141.0,212.0,000241.xml
3.0,245.0,133.0,347.0,216.0,000241.xml
7.0,2.0,2.0,498.0,286.0,000242.xml
16.0,115.0,201.0,156.0,229.0,000244.xml
6.0,17.0,130.0,487.0,291.0,000245.xml
14.0,302.0,138.0,328.0,170.0,000245.xml
11.0,59.0,43.0,330.0,309.0,000246.xml
8.0,66.0,187.0,182.0,329.0,000249.xml
8.0,107.0,173.0,159.0,204.0,000249.xml
8.0,155.0,168.0,201.0,194.0,000249.xml
8.0,172.0,183.0,273.0,325.0,000249.xml
8.0,267.0,181.0,315.0,306.0,000249.xml
8.0,268.0,159.0,313.0,185.0,000249.xml
8.0,306.0,118.0,375.0,227.0,000249.xml
10.0,101.0,176.0,323.0,301.0,000249.xml
10.0,0.0,169.0,473.0,374.0,000250.xml
4.0,96.0,123.0,149.0,296.0,000250.xml
6.0,0.0,473.0,148.0,499.0,000251.xml
6.0,1.0,449.0,82.0,474.0,000251.xml
6.0,95.0,434.0,274.0,499.0,000251.xml
6.0,361.0,439.0,452.0,499.0,000251.xml
14.0,51.0,428.0,69.0,468.0,000251.xml
14.0,12.0,420.0,28.0,449.0,000251.xml
14.0,20.0,428.0,38.0,460.0,000251.xml
0.0,7.0,95.0,490.0,231.0,000256.xml
19.0,81.0,0.0,182.0,56.0,000257.xml
14.0,19.0,141.0,221.0,374.0,000257.xml
14.0,174.0,67.0,471.0,374.0,000257.xml
14.0,170.0,0.0,498.0,360.0,000259.xml
14.0,2.0,0.0,270.0,263.0,000259.xml
6.0,342.0,95.0,499.0,195.0,000262.xml
6.0,18.0,223.0,354.0,322.0,000263.xml
6.0,0.0,354.0,68.0,498.0,000263.xml
11.0,97.0,18.0,373.0,499.0,000266.xml
17.0,0.0,0.0,374.0,499.0,000266.xml
0.0,179.0,102.0,435.0,280.0,000268.xml
0.0,0.0,57.0,261.0,332.0,000268.xml
4.0,184.0,263.0,204.0,319.0,000269.xml
4.0,297.0,244.0,325.0,311.0,000269.xml
4.0,239.0,0.0,260.0,25.0,000269.xml
4.0,156.0,0.0,173.0,26.0,000269.xml
4.0,138.0,0.0,154.0,27.0,000269.xml
14.0,226.0,55.0,496.0,212.0,000269.xml
14.0,90.0,58.0,244.0,260.0,000269.xml
14.0,36.0,133.0,202.0,331.0,000269.xml
14.0,225.0,74.0,412.0,273.0,000269.xml
14.0,257.0,113.0,476.0,331.0,000269.xml
18.0,149.0,119.0,442.0,182.0,000270.xml
14.0,203.0,49.0,338.0,300.0,000275.xml
12.0,56.0,108.0,417.0,432.0,000275.xml
14.0,128.0,162.0,229.0,318.0,000276.xml
14.0,161.0,372.0,259.0,499.0,000276.xml
14.0,31.0,372.0,139.0,499.0,000276.xml
11.0,293.0,155.0,499.0,374.0,000278.xml
14.0,110.0,88.0,416.0,374.0,000278.xml
8.0,334.0,262.0,483.0,372.0,000282.xml
14.0,326.0,103.0,475.0,299.0,000282.xml
14.0,231.0,56.0,356.0,373.0,000282.xml
14.0,2.0,31.0,198.0,373.0,000282.xml
14.0,57.0,138.0,295.0,373.0,000282.xml
14.0,223.0,76.0,461.0,374.0,000285.xml
14.0,36.0,96.0,230.0,374.0,000285.xml
8.0,368.0,202.0,436.0,374.0,000285.xml
8.0,119.0,219.0,228.0,374.0,000285.xml
14.0,484.0,173.0,499.0,279.0,000288.xml
14.0,442.0,162.0,478.0,282.0,000288.xml
14.0,418.0,152.0,438.0,239.0,000288.xml
14.0,439.0,155.0,449.0,229.0,000288.xml
14.0,411.0,162.0,429.0,247.0,000288.xml
14.0,406.0,193.0,421.0,250.0,000288.xml
14.0,372.0,156.0,400.0,265.0,000288.xml
14.0,329.0,168.0,379.0,251.0,000288.xml
14.0,0.0,152.0,19.0,304.0,000288.xml
14.0,0.0,109.0,32.0,243.0,000288.xml
6.0,29.0,141.0,76.0,204.0,000288.xml
5.0,66.0,20.0,381.0,277.0,000288.xml
6.0,48.0,98.0,336.0,230.0,000289.xml
2.0,329.0,10.0,453.0,367.0,000294.xml
2.0,54.0,92.0,166.0,370.0,000294.xml
6.0,426.0,124.0,499.0,180.0,000296.xml
3.0,43.0,119.0,458.0,221.0,000296.xml
14.0,179.0,31.0,338.0,358.0,000298.xml
6.0,487.0,275.0,499.0,319.0,000302.xml
6.0,474.0,250.0,485.0,272.0,000302.xml
6.0,278.0,224.0,477.0,339.0,000302.xml
6.0,244.0,229.0,315.0,279.0,000302.xml
6.0,0.0,240.0,86.0,374.0,000302.xml
14.0,132.0,243.0,183.0,366.0,000302.xml
13.0,120.0,272.0,212.0,366.0,000302.xml
6.0,14.0,38.0,499.0,279.0,000303.xml
6.0,464.0,70.0,499.0,164.0,000303.xml
6.0,444.0,67.0,499.0,92.0,000303.xml
6.0,0.0,62.0,92.0,112.0,000303.xml
6.0,1.0,80.0,84.0,130.0,000303.xml
6.0,0.0,110.0,50.0,195.0,000303.xml
19.0,81.0,95.0,241.0,237.0,000304.xml
1.0,15.0,231.0,295.0,499.0,000305.xml
14.0,56.0,78.0,322.0,473.0,000305.xml
9.0,88.0,31.0,143.0,71.0,000306.xml
9.0,113.0,35.0,181.0,85.0,000306.xml
9.0,236.0,45.0,301.0,86.0,000306.xml
9.0,302.0,41.0,379.0,86.0,000306.xml
15.0,1.0,2.0,499.0,374.0,000307.xml
15.0,0.0,228.0,39.0,374.0,000307.xml
14.0,350.0,99.0,432.0,189.0,000308.xml
14.0,223.0,123.0,307.0,268.0,000308.xml
14.0,143.0,152.0,242.0,320.0,000308.xml
14.0,162.0,113.0,224.0,166.0,000308.xml
14.0,215.0,106.0,275.0,153.0,000308.xml
10.0,32.0,135.0,395.0,316.0,000308.xml
6.0,46.0,41.0,432.0,353.0,000311.xml
18.0,2.0,1.0,499.0,333.0,000312.xml
6.0,117.0,150.0,406.0,220.0,000317.xml
6.0,321.0,78.0,435.0,166.0,000318.xml
6.0,200.0,80.0,300.0,142.0,000318.xml
6.0,304.0,7.0,336.0,26.0,000320.xml
6.0,271.0,9.0,303.0,25.0,000320.xml
6.0,227.0,0.0,272.0,28.0,000320.xml
14.0,0.0,77.0,371.0,499.0,000320.xml
14.0,43.0,166.0,248.0,457.0,000321.xml
14.0,12.0,1.0,468.0,331.0,000322.xml
14.0,276.0,2.0,499.0,374.0,000323.xml
14.0,11.0,2.0,304.0,374.0,000323.xml
0.0,99.0,62.0,499.0,199.0,000325.xml
12.0,57.0,146.0,256.0,264.0,000328.xml
12.0,0.0,108.0,49.0,228.0,000328.xml
12.0,304.0,97.0,439.0,235.0,000328.xml
12.0,280.0,132.0,315.0,203.0,000328.xml
14.0,115.0,61.0,173.0,225.0,000328.xml
14.0,169.0,82.0,208.0,147.0,000328.xml
14.0,361.0,69.0,413.0,203.0,000328.xml
14.0,280.0,93.0,326.0,179.0,000328.xml
6.0,290.0,210.0,317.0,232.0,000329.xml
6.0,218.0,219.0,240.0,236.0,000329.xml
6.0,258.0,211.0,273.0,223.0,000329.xml
8.0,170.0,233.0,372.0,481.0,000331.xml
8.0,60.0,221.0,137.0,425.0,000331.xml
8.0,0.0,365.0,49.0,499.0,000331.xml
14.0,148.0,253.0,357.0,466.0,000331.xml
12.0,53.0,49.0,284.0,261.0,000332.xml
6.0,36.0,109.0,272.0,177.0,000334.xml
11.0,3.0,6.0,471.0,425.0,000336.xml
1.0,75.0,152.0,159.0,275.0,000337.xml
1.0,218.0,175.0,428.0,373.0,000337.xml
14.0,28.0,28.0,67.0,110.0,000337.xml
14.0,118.0,3.0,161.0,52.0,000337.xml
14.0,112.0,27.0,166.0,130.0,000337.xml
14.0,241.0,16.0,287.0,102.0,000337.xml
14.0,67.0,91.0,164.0,254.0,000337.xml
14.0,234.0,29.0,402.0,361.0,000337.xml
14.0,175.0,74.0,230.0,131.0,000337.xml
14.0,232.0,87.0,258.0,156.0,000337.xml
14.0,196.0,90.0,215.0,115.0,000338.xml
6.0,81.0,72.0,383.0,202.0,000338.xml
2.0,333.0,130.0,446.0,362.0,000340.xml
2.0,71.0,37.0,185.0,254.0,000340.xml
6.0,24.0,73.0,488.0,322.0,000343.xml
4.0,88.0,1.0,306.0,440.0,000344.xml
12.0,76.0,1.0,410.0,347.0,000347.xml
10.0,158.0,130.0,412.0,361.0,000349.xml
8.0,320.0,125.0,478.0,362.0,000349.xml
8.0,283.0,75.0,359.0,143.0,000349.xml
8.0,99.0,90.0,205.0,297.0,000349.xml
8.0,166.0,160.0,325.0,374.0,000349.xml
19.0,1.0,1.0,88.0,130.0,000349.xml
14.0,32.0,67.0,148.0,246.0,000352.xml
14.0,130.0,67.0,209.0,248.0,000352.xml
14.0,197.0,58.0,308.0,283.0,000352.xml
14.0,293.0,82.0,499.0,374.0,000352.xml
17.0,11.0,99.0,499.0,374.0,000352.xml
7.0,152.0,115.0,355.0,374.0,000354.xml
6.0,21.0,35.0,426.0,292.0,000355.xml
11.0,262.0,265.0,387.0,478.0,000359.xml
14.0,24.0,12.0,287.0,480.0,000359.xml
8.0,38.0,83.0,419.0,425.0,000359.xml
2.0,58.0,14.0,219.0,238.0,000363.xml
2.0,160.0,121.0,499.0,332.0,000363.xml
4.0,226.0,123.0,270.0,264.0,000367.xml
4.0,330.0,121.0,389.0,353.0,000367.xml
4.0,393.0,182.0,421.0,339.0,000367.xml
4.0,284.0,124.0,325.0,339.0,000367.xml
6.0,429.0,183.0,499.0,228.0,000367.xml
6.0,1.0,254.0,499.0,374.0,000367.xml
14.0,173.0,65.0,294.0,264.0,000367.xml
3.0,93.0,103.0,252.0,255.0,000370.xml
3.0,243.0,121.0,419.0,256.0,000370.xml
14.0,268.0,18.0,359.0,295.0,000372.xml
